eventid,iyear,imonth,country_txt,region_txt,city,latitude,longitude,nkill,nwound
202105210011,2021,5,Afghanistan,South Asia,Jalrez district,34.472681,68.667803,7,0
202105210013,2021,5,Pakistan,South Asia,Spinwam,33.180556,70.389444,0,2
202105210014,2021,5,Afghanistan,South Asia,Hisarak district,34.283562,69.883565,7,9
202105210015,2021,5,Kenya,Sub-Saharan Africa,Banisa,3.940833,40.342222,3,5
202105210017,2021,5,Democratic Republic of the Congo,Sub-Saharan Africa,Kunguta Mavono,0.114047,29.301801,0,0
202105210018,2021,5,Nigeria,Sub-Saharan Africa,Tse-Ancha,7.823441,8.573069,8,0
202105210023,2021,5,Iraq,Middle East & North Africa,Al-Faw district,29.98117,48.467566,0,0
202105210030,2021,5,Colombia,South America,Miranda,3.2499,-76.2297,0,2
202105210031,2021,5,Chile,South America,Huilio,-38.959,-72.9077,0,0
202105210032,2021,5,Chile,South America,Coi Coi,-38.6203,-73.4844,0,0
202105210035,2021,5,Colombia,South America,Florida,3.321008,-76.237672,0,0
202105220001,2021,5,Afghanistan,South Asia,Guzargahi Nur district,36.229444,69.574722,8,7
202105220003,2021,5,Afghanistan,South Asia,Qadis district,34.855085,63.486203,1,0
202105220005,2021,5,Afghanistan,South Asia,Almar district,35.955833,64.278333,4,0
202105220006,2021,5,Afghanistan,South Asia,Nahrin district,36.05346,69.108944,2,3
202105220009,2021,5,Nigeria,Sub-Saharan Africa,Vingir,7.165786,9.284102,17,0
202105220010,2021,5,Nigeria,Sub-Saharan Africa,Tse Nyipila,7.267045,9.790178,17,0
202105220011,2021,5,Nigeria,Sub-Saharan Africa,Tse Guji,7.23,9.449722,17,0
202105220012,2021,5,Nigeria,Sub-Saharan Africa,Kwaghaondo,7.165786,9.284102,13,0
202105220013,2021,5,Mali,Sub-Saharan Africa,Unknown,16.263981,-0.027987,0,0
202105220014,2021,5,Pakistan,South Asia,North Waziristan district,32.943066,69.955034,1,0
202105220020,2021,5,Afghanistan,South Asia,Nahrin district,36.05346,69.108944,0,5
202105220022,2021,5,Iraq,Middle East & North Africa,Al-Aith,34.533753,43.483738,2,1
202105220027,2021,5,Colombia,South America,Loma Larga,2.381,-76.754,4,1
202105220033,2021,5,Kenya,Sub-Saharan Africa,Hareri Hosle,3.795441,41.740739,1,0
202105220035,2021,5,Pakistan,South Asia,Sapary Targaoo,34.786528,71.524915,1,0
202105220037,2021,5,Afghanistan,South Asia,Nawabad,36.871944,70.466389,11,7
